Theme,Song Name
party,Ratthaalu
romantic,Emo Emo
romantic,Buttabomma - Telugu
romantic,Hoyna Hoyna
romantic,"He’s Soo Cute (From ""Sarileru Neekevvaru"")"
romantic,"Oo Baava (From ""Prati Roju Pandaage"")"
romantic,Nee Kallalona
romantic,Prema O Premaa
romantic,Arere Yekkada
romantic,"Gudilo Badilo Madilo - From ""D.J."""
romantic,"Pillaa Raa - From ""RX 100"""
romantic,Nanne Nanne
romantic,Nuvvunte Naa Jathagaa
romantic,Love Me Again
romantic,Telusaa Telusaa
romantic,Po Pove Yekantham
romantic,Toliprema
romantic,You & Me
romantic,Guruvaram
romantic,Ela Ela Naalo
romantic,Seethakaalam
romantic,Inka Edho
romantic,"Choosi Chudangane - From ""Chalo"""
romantic,Mellaga
romantic,Madhurame
romantic,"Undiporaadhey - From ""Hushaaru"""
romantic,Reppalaninda
romantic,Priya
romantic,Gangu Leader
romantic,Cheliya Choode
romantic,Pilla Pilla
romantic,Anu Anu
romantic,Naa Lonaa
romantic,"Andhamaina Chandhamaama - From ""Tej I Love You"""
romantic,Naalo Nenu
romantic,Itu Itu Ani Chitikelu Evvarivo
romantic,Humko Tum Mil Gaye
romantic,Rang Do
romantic,Unbelievable
romantic,Kannulatho Choosevi
romantic,Kannanule - Bombay / Soundtrack Version
romantic,Athiloka Sundari
romantic,Feel My Love
romantic,Ninne Ninne
romantic,Nuvvu Nenu
romantic,Nuvvunte
romantic,Vagalaadi
romantic,Mila Mila
romantic,Priya Priyathama
romantic,O Cheliya
romantic,Nelluri Nerajana
romantic,Priyathama
romantic,Poovullo Daagunna
romantic,Priya Raagale
romantic,Gili Giligas
romantic,Darlingey
romantic,Rachcha
romantic,Sundari
romantic,
romantic,Raavana
romantic,Temper
romantic,O Sayonara
romantic,My Heart is Beating
romantic,Gaallo Thelinattunde
romantic,Chinnadhana
romantic,Dhooram Dhooram
romantic,Gunde Jaari Gallanthayinde
romantic,Jennifer Lopez
romantic,Niharika
romantic,Gala Gala Paruthunna
romantic,Jatha Kalise
romantic,Endhuko Emo
romantic,Guruvaram
romantic,Manasa
romantic,Oh Priya Priya
romantic,I Wanna Fly
romantic,Dhim Thana
romantic,"Vaaram - From ""Chal Mohan Ranga"""
romantic,Cheliya
romantic,Panjaa
romantic,"Pilla Puli (From ""Aakaasam Nee Haddhu Ra"")"
romantic,"Choosale Kallaraa (From ""Sr Kalyanamandapam"")"
romantic,"Ee Manase Se Se (From ""Tholiprema"")"
devotional,Main Shiv Hun
devotional,Bhala
devotional,"Bolo Har Har Har (feat. Mohit Chauhan, Sukhwinder Singh, Badshah, Megha Sriram Dalton, Anugrah, Sandeep Shrivastava)"
devotional,Shiva
devotional,Bhola Mera Yaar
devotional,
devotional,
devotional,Bholeynath
devotional,Bam Bam Bhole
devotional,Chanda Jhaanke
devotional,Jai Jai Mahakaal
devotional,Shiv Shankara
devotional,Layak
devotional,Karpur Gauram Trap - Remix
devotional,Har Har Gange
devotional,Deva Shree Ganesha
devotional,Ganpati Vandana
devotional,
devotional,Shree Hari Stotram
devotional,Vishnustutu - Vishnushodashanamani
devotional,Vishnu Shatanama Stotram
devotional,Tu Hi Tu
devotional,Om Namo Narayan
devotional,Mukundha Mukundha
devotional,Ahe Nila Saila
devotional,Kalia (Jai Jagannath)
devotional,Om Jai Jagdish Hare
devotional,Shiv Kailash Ke Vasi
